"","year","state","state_po","county","FIPS","office","candidate","party","candidatevotes","totalvotes","version","percchange"
"1",2012,"Nevada","NV","Churchill",32001,"President","Barack Obama","democrat",2961,10265,20191203,"-4.10%"
"2",2012,"Nevada","NV","Churchill",32001,"President","Mitt Romney","republican",7061,10265,20191203,"4.36%"
"3",2012,"Nevada","NV","Churchill",32001,"President","Other",NA,243,10265,20191203,"-0.26%"
"4",2012,"Nevada","NV","Clark",32003,"President","Barack Obama","democrat",389936,691190,20191203,"-2.06%"
"5",2012,"Nevada","NV","Clark",32003,"President","Mitt Romney","republican",289053,691190,20191203,"2.34%"
"6",2012,"Nevada","NV","Clark",32003,"President","Other",NA,12201,691190,20191203,"-0.28%"
"7",2012,"Nevada","NV","Douglas",32005,"President","Barack Obama","democrat",9297,26075,20191203,"-5.54%"
"8",2012,"Nevada","NV","Douglas",32005,"President","Mitt Romney","republican",16276,26075,20191203,"5.87%"
"9",2012,"Nevada","NV","Douglas",32005,"President","Other",NA,502,26075,20191203,"-0.33%"
"10",2012,"Nevada","NV","Elko",32007,"President","Barack Obama","democrat",3511,15986,20191203,"-6.38%"
"11",2012,"Nevada","NV","Elko",32007,"President","Mitt Romney","republican",12014,15986,20191203,"6.68%"
"12",2012,"Nevada","NV","Elko",32007,"President","Other",NA,461,15986,20191203,"-0.29%"
"13",2012,"Nevada","NV","Esmeralda",32009,"President","Barack Obama","democrat",92,435,20191203,"-2.54%"
"14",2012,"Nevada","NV","Esmeralda",32009,"President","Mitt Romney","republican",317,435,20191203,"3.85%"
"15",2012,"Nevada","NV","Esmeralda",32009,"President","Other",NA,26,435,20191203,"-1.31%"
"16",2012,"Nevada","NV","Eureka",32011,"President","Barack Obama","democrat",107,808,20191203,"-6.09%"
"17",2012,"Nevada","NV","Eureka",32011,"President","Mitt Romney","republican",663,808,20191203,"6.35%"
"18",2012,"Nevada","NV","Eureka",32011,"President","Other",NA,38,808,20191203,"-0.26%"
"19",2012,"Nevada","NV","Humboldt",32013,"President","Barack Obama","democrat",1737,5744,20191203,"-3.46%"
"20",2012,"Nevada","NV","Humboldt",32013,"President","Mitt Romney","republican",3810,5744,20191203,"3.02%"
"21",2012,"Nevada","NV","Humboldt",32013,"President","Other",NA,197,5744,20191203,"0.45%"
"22",2012,"Nevada","NV","Lander",32015,"President","Barack Obama","democrat",534,2165,20191203,"-2.78%"
"23",2012,"Nevada","NV","Lander",32015,"President","Mitt Romney","republican",1580,2165,20191203,"3.24%"
"24",2012,"Nevada","NV","Lander",32015,"President","Other",NA,51,2165,20191203,"-0.45%"
"25",2012,"Nevada","NV","Lincoln",32017,"President","Barack Obama","democrat",400,2152,20191203,"-6.00%"
"26",2012,"Nevada","NV","Lincoln",32017,"President","Mitt Romney","republican",1691,2152,20191203,"7.48%"
"27",2012,"Nevada","NV","Lincoln",32017,"President","Other",NA,61,2152,20191203,"-1.48%"
"28",2012,"Nevada","NV","Lyon",32019,"President","Barack Obama","democrat",7380,21465,20191203,"-5.45%"
"29",2012,"Nevada","NV","Lyon",32019,"President","Mitt Romney","republican",13520,21465,20191203,"5.39%"
"30",2012,"Nevada","NV","Lyon",32019,"President","Other",NA,565,21465,20191203,"0.05%"
"31",2012,"Nevada","NV","Mineral",32021,"President","Barack Obama","democrat",863,2035,20191203,"-4.49%"
"32",2012,"Nevada","NV","Mineral",32021,"President","Mitt Romney","republican",1080,2035,20191203,"4.05%"
"33",2012,"Nevada","NV","Mineral",32021,"President","Other",NA,92,2035,20191203,"0.45%"
"34",2012,"Nevada","NV","Nye",32023,"President","Barack Obama","democrat",6320,17522,20191203,"-5.24%"
"35",2012,"Nevada","NV","Nye",32023,"President","Mitt Romney","republican",10566,17522,20191203,"5.78%"
"36",2012,"Nevada","NV","Nye",32023,"President","Other",NA,636,17522,20191203,"-0.53%"
"37",2012,"Nevada","NV","Pershing",32027,"President","Barack Obama","democrat",632,1884,20191203,"-3.11%"
"38",2012,"Nevada","NV","Pershing",32027,"President","Mitt Romney","republican",1167,1884,20191203,"3.39%"
"39",2012,"Nevada","NV","Pershing",32027,"President","Other",NA,85,1884,20191203,"-0.28%"
"40",2012,"Nevada","NV","Storey",32029,"President","Barack Obama","democrat",920,2314,20191203,"-5.82%"
"41",2012,"Nevada","NV","Storey",32029,"President","Mitt Romney","republican",1321,2314,20191203,"5.52%"
"42",2012,"Nevada","NV","Storey",32029,"President","Other",NA,73,2314,20191203,"0.30%"
"43",2012,"Nevada","NV","Washoe",32031,"President","Barack Obama","democrat",95409,187855,20191203,"-4.46%"
"44",2012,"Nevada","NV","Washoe",32031,"President","Mitt Romney","republican",88453,187855,20191203,"4.47%"
"45",2012,"Nevada","NV","Washoe",32031,"President","Other",NA,3993,187855,20191203,"-0.02%"
"46",2012,"Nevada","NV","White Pine",32033,"President","Barack Obama","democrat",983,3704,20191203,"-5.48%"
"47",2012,"Nevada","NV","White Pine",32033,"President","Mitt Romney","republican",2601,3704,20191203,"6.71%"
"48",2012,"Nevada","NV","White Pine",32033,"President","Other",NA,120,3704,20191203,"-1.24%"
"49",2012,"Nevada","NV","Carson City",32510,"President","Barack Obama","democrat",10291,23319,20191203,"-4.95%"
"50",2012,"Nevada","NV","Carson City",32510,"President","Mitt Romney","republican",12394,23319,20191203,"4.93%"
"51",2012,"Nevada","NV","Carson City",32510,"President","Other",NA,634,23319,20191203,"0.02%"
